"activityId","hasActivityType","hasLocation","hasTemporalExtent"
"A_FAUX_AU","A_FAUX","AU",2011
"A_REAL_AU","A_REAL","AU",2011
"A_MARE_AU","A_MARE","AU",2011
"A_COMP_AU","A_COMP","AU",2011
"A_RESD_AU","A_RESD","AU",2011
"A_OBUS_AU","A_OBUS","AU",2011
"A_PADF_AU","A_PADF","AU",2011
"A_EDUC_AU","A_EDUC","AU",2011
"A_HEAL_AU","A_HEAL","AU",2011
"A_BIOF_AU","A_BIOF","AU",2011
"A_BIOP_AU","A_BIOP","AU",2011
"A_BIOS_AU","A_BIOS","AU",2011
"A_COMF_AU","A_COMF","AU",2011
"A_COMW_AU","A_COMW","AU",2011
"A_WASF_AU","A_WASF","AU",2011
"A_WASO_AU","A_WASO","AU",2011
"A_LANF_AU","A_LANF","AU",2011
"A_LANP_AU","A_LANP","AU",2011
"A_LANL_AU","A_LANL","AU",2011
"A_LANI_AU","A_LANI","AU",2011
"A_LANT_AU","A_LANT","AU",2011
"A_LANW_AU","A_LANW","AU",2011
"A_ORGA_AU","A_ORGA","AU",2011
"A_RECR_AU","A_RECR","AU",2011
"A_OSER_AU","A_OSER","AU",2011
"A_PRHH_AU","A_PRHH","AU",2011
"A_WHEA_AT","A_WHEA","AT",2011
"A_OCER_AT","A_OCER","AT",2011
"A_FVEG_AT","A_FVEG","AT",2011
"A_OILS_AT","A_OILS","AT",2011
"A_SUGB_AT","A_SUGB","AT",2011
"A_FIBR_AT","A_FIBR","AT",2011
"A_OTCR_AT","A_OTCR","AT",2011
"A_CATL_AT","A_CATL","AT",2011
"A_PIGS_AT","A_PIGS","AT",2011
"A_PLTR_AT","A_PLTR","AT",2011
"A_OMEA_AT","A_OMEA","AT",2011
"A_OANP_AT","A_OANP","AT",2011
"A_MILK_AT","A_MILK","AT",2011
"A_FORE_AT","A_FORE","AT",2011
"A_FISH_AT","A_FISH","AT",2011
"A_COAL_AT","A_COAL","AT",2011
"A_COIL_AT","A_COIL","AT",2011
"A_GASE_AT","A_GASE","AT",2011
"A_IRON_AT","A_IRON","AT",2011
"A_ONFO_AT","A_ONFO","AT",2011
"A_STON_AT","A_STON","AT",2011
"A_SDCL_AT","A_SDCL","AT",2011
"A_CHMF_AT","A_CHMF","AT",2011
"A_PCAT_AT","A_PCAT","AT",2011
"A_PPIG_AT","A_PPIG","AT",2011
"A_PPLT_AT","A_PPLT","AT",2011
"A_POME_AT","A_POME","AT",2011
"A_VOIL_AT","A_VOIL","AT",2011
"A_DAIR_AT","A_DAIR","AT",2011
"A_SUGR_AT","A_SUGR","AT",2011
"A_OFOD_AT","A_OFOD","AT",2011
"A_BEVR_AT","A_BEVR","AT",2011
"A_FSHP_AT","A_FSHP","AT",2011
"A_TOBC_AT","A_TOBC","AT",2011
"A_TEXT_AT","A_TEXT","AT",2011
"A_GARM_AT","A_GARM","AT",2011
"A_LETH_AT","A_LETH","AT",2011
"A_WOOD_AT","A_WOOD","AT",2011
"A_WOOW_AT","A_WOOW","AT",2011
"A_PULP_AT","A_PULP","AT",2011
"A_PAPR_AT","A_PAPR","AT",2011
"A_PAPE_AT","A_PAPE","AT",2011
"A_MDIA_AT","A_MDIA","AT",2011
"A_COKE_AT","A_COKE","AT",2011
"A_REFN_AT","A_REFN","AT",2011
"A_PLAS_AT","A_PLAS","AT",2011
"A_PLAW_AT","A_PLAW","AT",2011
"A_NFER_AT","A_NFER","AT",2011
"A_PFER_AT","A_PFER","AT",2011
"A_CHEM_AT","A_CHEM","AT",2011
"A_RUBP_AT","A_RUBP","AT",2011
"A_GLAS_AT","A_GLAS","AT",2011
"A_GLAW_AT","A_GLAW","AT",2011
"A_CRMC_AT","A_CRMC","AT",2011
"A_BRIK_AT","A_BRIK","AT",2011
"A_CMNT_AT","A_CMNT","AT",2011
"A_ASHW_AT","A_ASHW","AT",2011
"A_ONMM_AT","A_ONMM","AT",2011
"A_STEL_AT","A_STEL","AT",2011
"A_STEW_AT","A_STEW","AT",2011
"A_PREM_AT","A_PREM","AT",2011
"A_ALUW_AT","A_ALUW","AT",2011
"A_LZTP_AT","A_LZTP","AT",2011
"A_LZTW_AT","A_LZTW","AT",2011
"A_COPP_AT","A_COPP","AT",2011
"A_COPW_AT","A_COPW","AT",2011
"A_ONFM_AT","A_ONFM","AT",2011
"A_ONFW_AT","A_ONFW","AT",2011
"A_METC_AT","A_METC","AT",2011
"A_FABM_AT","A_FABM","AT",2011
"A_MACH_AT","A_MACH","AT",2011
"A_OFMA_AT","A_OFMA","AT",2011
"A_ELMA_AT","A_ELMA","AT",2011
"A_RATV_AT","A_RATV","AT",2011
"A_MEIN_AT","A_MEIN","AT",2011
"A_MOTO_AT","A_MOTO","AT",2011
"A_OTRE_AT","A_OTRE","AT",2011
"A_FURN_AT","A_FURN","AT",2011
"A_RYMS_AT","A_RYMS","AT",2011
"A_BOTW_AT","A_BOTW","AT",2011
"A_POWC_AT","A_POWC","AT",2011
"A_POWG_AT","A_POWG","AT",2011
"A_POWH_AT","A_POWH","AT",2011
"A_POWW_AT","A_POWW","AT",2011
"A_POWP_AT","A_POWP","AT",2011
"A_POWB_AT","A_POWB","AT",2011
"A_POWS_AT","A_POWS","AT",2011
"A_POWM_AT","A_POWM","AT",2011
"A_POWZ_AT","A_POWZ","AT",2011
"A_POWT_AT","A_POWT","AT",2011
"A_POWD_AT","A_POWD","AT",2011
"A_GASD_AT","A_GASD","AT",2011
"A_HWAT_AT","A_HWAT","AT",2011
"A_WATR_AT","A_WATR","AT",2011
"A_CONS_AT","A_CONS","AT",2011
"A_CONW_AT","A_CONW","AT",2011
"A_TDMO_AT","A_TDMO","AT",2011
"A_TDFU_AT","A_TDFU","AT",2011
"A_TDWH_AT","A_TDWH","AT",2011
"A_TDRT_AT","A_TDRT","AT",2011
"A_HORE_AT","A_HORE","AT",2011
"A_TRAI_AT","A_TRAI","AT",2011
"A_TLND_AT","A_TLND","AT",2011
"A_TPIP_AT","A_TPIP","AT",2011
"A_TWAS_AT","A_TWAS","AT",2011
"A_TWAI_AT","A_TWAI","AT",2011
"A_TAIR_AT","A_TAIR","AT",2011
"A_TAUX_AT","A_TAUX","AT",2011
"A_PTEL_AT","A_PTEL","AT",2011
"A_FINT_AT","A_FINT","AT",2011
"A_FINS_AT","A_FINS","AT",2011
"A_FAUX_AT","A_FAUX","AT",2011
"A_REAL_AT","A_REAL","AT",2011
"A_MARE_AT","A_MARE","AT",2011
"A_COMP_AT","A_COMP","AT",2011
"A_RESD_AT","A_RESD","AT",2011
"A_OBUS_AT","A_OBUS","AT",2011
"A_PADF_AT","A_PADF","AT",2011
"A_EDUC_AT","A_EDUC","AT",2011
"A_HEAL_AT","A_HEAL","AT",2011
"A_INCF_AT","A_INCF","AT",2011
"A_INCP_AT","A_INCP","AT",2011
"A_INCL_AT","A_INCL","AT",2011
"A_INCM_AT","A_INCM","AT",2011
"A_INCT_AT","A_INCT","AT",2011
"A_INCW_AT","A_INCW","AT",2011
"A_INCO_AT","A_INCO","AT",2011
"A_BIOF_AT","A_BIOF","AT",2011
"A_BIOP_AT","A_BIOP","AT",2011
"A_BIOS_AT","A_BIOS","AT",2011
"A_COMF_AT","A_COMF","AT",2011
"A_COMW_AT","A_COMW","AT",2011
"A_WASF_AT","A_WASF","AT",2011
"A_WASO_AT","A_WASO","AT",2011
"A_LANF_AT","A_LANF","AT",2011
"A_LANP_AT","A_LANP","AT",2011
"A_LANL_AT","A_LANL","AT",2011
"A_LANI_AT","A_LANI","AT",2011
"A_LANT_AT","A_LANT","AT",2011
"A_LANW_AT","A_LANW","AT",2011
"A_ORGA_AT","A_ORGA","AT",2011
"A_RECR_AT","A_RECR","AT",2011
"A_OSER_AT","A_OSER","AT",2011
